0 0.13177(0.13177)
1 0.132549(0.132549)
2 0.133912(0.133912)
3 0.13561(0.13561)
4 0.137336(0.137336)
5 0.138768(0.138768)
6 0.139621(0.139621)
7 0.139713(0.139713)
8 0.139006(0.139006)
9 0.137616(0.137616)
10 0.135778(0.135778)
11 0.133793(0.133793)
12 0.131959(0.131959)
13 0.130528(0.130528)
14 0.129677(0.129677)
15 0.12949(0.12949)
16 0.129964(0.129964)
17 0.131(0.131)
18 0.132414(0.132414)
19 0.133954(0.133954)
20 0.135331(0.135331)
21 0.136274(0.136274)
22 0.136597(0.136597)
23 0.136251(0.136251)
24 0.135355(0.135355)
25 0.134174(0.134174)
26 0.133071(0.133071)
27 0.132449(0.132449)
28 0.132705(0.132705)
29 0.1342(0.1342)
30 0.137261(0.137261)
31 0.142163(0.142163)
32 0.149122(0.149122)
33 0.15823(0.15823)
34 0.169351(0.169351)
35 0.181943(0.181943)
36 0.194854(0.194854)
37 0.206244(0.206244)
38 0.213851(0.213851)
39 0.215751(0.215751)
40 0.21129(0.21129)
41 0.201457(0.201457)
42 0.188366(0.188366)
43 0.174297(0.174297)
44 0.161004(0.161004)
45 0.149529(0.149529)
46 0.140332(0.140332)
47 0.133515(0.133515)
48 0.128998(0.128998)
49 0.126627(0.126627)
50 0.126221(0.126221)
51 0.127575(0.127575)
52 0.130446(0.130446)
53 0.134503(0.134503)
54 0.139298(0.139298)
55 0.144236(0.144236)
56 0.148618(0.148618)
57 0.151748(0.151748)
58 0.153111(0.153111)
59 0.152534(0.152534)
60 0.150243(0.150243)
61 0.146782(0.146782)
62 0.142845(0.142845)
63 0.139107(0.139107)
64 0.136125(0.136125)
65 0.134301(0.134301)
66 0.133897(0.133897)
67 0.135053(0.135053)
68 0.137791(0.137791)
69 0.141995(0.141995)
70 0.147359(0.147359)
71 0.153318(0.153318)
72 0.159018(0.159018)
73 0.16339(0.16339)
74 0.1654(0.1654)
75 0.164417(0.164417)
76 0.160511(0.160511)
77 0.15445(0.15445)
78 0.147408(0.147408)
79 0.140579(0.140579)
80 0.134943(0.134943)
81 0.131211(0.131211)
82 0.129908(0.129908)
83 0.131493(0.131493)
84 0.13648(0.13648)
85 0.145546(0.145546)
86 0.1596(0.1596)
87 0.179754(0.179754)
88 0.207038(0.207038)
89 0.241462(0.241462)
90 0.279978(0.279978)
91 0.31397(0.31397)
92 0.330361(0.330361)
93 0.320661(0.320661)
94 0.289624(0.289624)
95 0.250305(0.250305)
96 0.213321(0.213321)
97 0.183276(0.183276)
98 0.160797(0.160797)
99 0.144981(0.144981)
100 0.134668(0.134668)
101 0.128886(0.128886)
102 0.126939(0.126939)
103 0.128342(0.128342)
104 0.132711(0.132711)
105 0.139596(0.139596)
106 0.148269(0.148269)
107 0.157515(0.157515)
108 0.165577(0.165577)
109 0.170499(0.170499)
110 0.170892(0.170892)
111 0.166673(0.166673)
112 0.1591(0.1591)
113 0.150086(0.150086)
114 0.141405(0.141405)
115 0.134302(0.134302)
116 0.129514(0.129514)
117 0.127458(0.127458)
118 0.128428(0.128428)
119 0.13274(0.13274)
120 0.140807(0.140807)
121 0.153147(0.153147)
122 0.170274(0.170274)
123 0.192348(0.192348)
124 0.21844(0.21844)
