0 0.130751(0.130751)
1 0.131775(0.131775)
2 0.133371(0.133371)
3 0.135256(0.135256)
4 0.13709(0.13709)
5 0.138527(0.138527)
6 0.139281(0.139281)
7 0.13919(0.13919)
8 0.13826(0.13826)
9 0.13666(0.13666)
10 0.134679(0.134679)
11 0.132653(0.132653)
12 0.130901(0.130901)
13 0.129682(0.129682)
14 0.129166(0.129166)
15 0.129427(0.129427)
16 0.13044(0.13044)
17 0.132074(0.132074)
18 0.134102(0.134102)
19 0.136207(0.136207)
20 0.13803(0.13803)
21 0.139233(0.139233)
22 0.139585(0.139585)
23 0.139036(0.139036)
24 0.137746(0.137746)
25 0.136053(0.136053)
26 0.134401(0.134401)
27 0.133264(0.133264)
28 0.133091(0.133091)
29 0.134281(0.134281)
30 0.137186(0.137186)
31 0.142109(0.142109)
32 0.149299(0.149299)
33 0.158888(0.158888)
34 0.17078(0.17078)
35 0.184436(0.184436)
36 0.198627(0.198627)
37 0.211288(0.211288)
38 0.219804(0.219804)
39 0.221917(0.221917)
40 0.216875(0.216875)
41 0.205892(0.205892)
42 0.191463(0.191463)
43 0.176183(0.176183)
44 0.161962(0.161962)
45 0.149858(0.149858)
46 0.140289(0.140289)
47 0.133299(0.133299)
48 0.128757(0.128757)
49 0.126473(0.126473)
50 0.126238(0.126238)
51 0.127828(0.127828)
52 0.130978(0.130978)
53 0.13533(0.13533)
54 0.140392(0.140392)
55 0.145519(0.145519)
56 0.149957(0.149957)
57 0.152977(0.152977)
58 0.154069(0.154069)
59 0.153112(0.153112)
60 0.15041(0.15041)
61 0.146585(0.146585)
62 0.142379(0.142379)
63 0.138483(0.138483)
64 0.135445(0.135445)
65 0.133651(0.133651)
66 0.133339(0.133339)
67 0.13463(0.13463)
68 0.137528(0.137528)
69 0.141896(0.141896)
70 0.147407(0.147407)
71 0.153471(0.153471)
72 0.159212(0.159212)
73 0.163556(0.163556)
74 0.165487(0.165487)
75 0.16442(0.16442)
76 0.16048(0.16048)
77 0.154471(0.154471)
78 0.14757(0.14757)
79 0.140957(0.140957)
80 0.13559(0.13559)
81 0.13217(0.13217)
82 0.13122(0.13122)
83 0.133213(0.133213)
84 0.138689(0.138689)
85 0.148363(0.148363)
86 0.163192(0.163192)
